geoid10,name10,year,hsi_score,hei_score,hvi_score,n_veryhigh
42101023700,237,2023,-1.87278541,-0.99117371,-1.87257159,0
42101012000,120,2023,-2.29431601,-1.54763806,-2.01963048,0
42101035702,357.02,2023,-2.21519876,1.46877327,-2.0293248,0
42101034502,345.02,2023,-2.88181996,1.17804905,-2.07154669,0
42101004001,40.01,2023,-3.96212407,0.72159735,-2.07256281,0
42101032300,323,2023,-2.80905431,-0.79505472,-2.10372082,0
42101033000,330,2023,-3.3247929,-0.02542688,-2.11339582,0
42101007800,78,2023,-3.14393964,-2.09519232,-2.1720773,0
42101035601,356.01,2023,-2.70217909,2.66717482,-2.29852689,0
42101032900,329,2023,-3.09075039,0.29129226,-2.32715135,0
42101034701,347.01,2023,-3.30902691,0.23440296,-2.38796713,0
42101030800,308,2023,-3.41256512,0.42268401,-2.43926329,0
42101033702,337.02,2023,-3.34928824,0.85596096,-2.50833257,0
42101032600,326,2023,-3.82694817,-0.85373864,-2.60636773,0
42101035900,359,2023,-3.34479279,2.03060408,-2.67835416,0
42101008601,86.01,2023,-4.23053296,-2.76764591,-2.70721027,0
42101018002,180.02,2023,-4.60605617,0.09470831,-2.74630753,0
42101037500,375,2023,-3.36676338,-1.69480065,-2.74632908,0
42101034200,342,2023,-3.16453079,1.71768171,-2.74743848,0
42101000401,4.01,2023,-4.73594266,-1.87442882,-2.83314834,0
42101035800,358,2023,-3.58910523,1.26463302,-2.91564444,0
42101002802,28.02,2023,-5.05027021,-0.20994911,-2.91896364,0
42101011700,117,2023,-3.79168156,-1.8381249,-2.94766608,0
42101020800,208,2023,-3.38681938,-1.60258366,-2.96694374,0
42101033900,339,2023,-3.91408207,0.56584359,-3.03022645,0
42101000902,9.02,2023,-4.51080536,-0.75065541,-3.09328461,0
42101020600,206,2023,-4.12398604,-0.79985127,-3.10798444,0
42101008801,88.01,2023,-5.18433448,,-3.14957241,0
42101035100,351,2023,-4.07033936,1.68730564,-3.20286636,0
42101034802,348.02,2023,-4.30576467,-0.86618162,-3.20515423,0
42101025700,257,2023,-4.09968941,-1.77557928,-3.24000514,0
42101032000,320,2023,-4.89458478,-0.23702033,-3.24581531,0
42101033800,338,2023,-4.68377174,0.19674651,-3.26311024,0
42101004002,40.02,2023,-5.88119956,0.10869246,-3.32417016,0
42101033600,336,2023,-5.07426893,-0.42277805,-3.39337572,0
42101036501,365.01,2023,-4.37498392,0.87779564,-3.42282251,0
42101002500,25,2023,-4.97923531,-1.17373777,-3.42750964,0
42101033102,331.02,2023,-4.91510744,-0.4115111,-3.44987343,0
42101034000,340,2023,-4.87949927,0.75950525,-3.61475994,0
42101031501,315.01,2023,-5.60483356,0.02354857,-3.64443872,0
42101037900,379,2023,-5.72071412,0.57896409,-3.66966892,0
42101004201,42.01,2023,-6.01187803,-0.33698218,-3.7052089,0
42101036100,361,2023,-4.96914581,-0.80554253,-3.71896942,0
42101025600,256,2023,-4.64751202,-0.83203316,-3.85072392,0
42101002900,29,2023,-6.20002598,-0.52309164,-3.86799758,0
42101023600,236,2023,-4.63893358,-0.56535793,-3.90475557,0
42101001400,14,2023,-6.32696474,-2.77156096,-4.00174506,0
42101008702,87.02,2023,-6.45865976,-3.70110298,-4.15147855,0
42101013500,135,2023,-6.34228214,-2.09687801,-4.15433836,0
42101036301,363.01,2023,-6.05339504,0.07948536,-4.16559341,0
42101021800,218,2023,-5.24520303,-2.55554209,-4.17594214,0
42101033200,332,2023,-5.99786498,-0.32025262,-4.23379948,0
42101007900,79,2023,-6.41184143,-2.53368223,-4.28681928,0
42101018001,180.01,2023,-6.50889673,-0.81669272,-4.32601905,0
42101002300,23,2023,-6.8844025,-1.19357932,-4.36277917,0
42101003800,38,2023,-7.21922072,0.14799749,-4.41885758,0
42101009000,90,2023,-6.6094646,-2.55654677,-4.43436056,0
42101036900,369,2023,-6.7888631,-2.68695889,-4.45059977,0
42101002400,24,2023,-7.10761774,-1.38230792,-4.46261617,0
42101012500,125,2023,-6.90818475,-2.64001365,-4.59221175,0
42101000901,9.01,2023,-7.29553761,-4.46403735,-4.59719108,0
42101038800,388,2023,-5.708013,-1.16144462,-4.62366484,0
42101008701,87.01,2023,-7.10214075,-2.60068223,-4.63154884,0
42101000402,4.02,2023,-7.40431761,-0.85584806,-4.64425806,0
42101003902,39.02,2023,-7.45346533,-0.07441019,-4.6506281,0
42101036302,363.02,2023,-6.57890646,-0.68509821,-4.68659382,0
42101000700,7,2023,-7.7236078,-2.72198568,-4.79239943,0
42101014300,143,2023,-7.42209978,-2.96520871,-4.82698688,0
42101034801,348.01,2023,-6.86701154,0.29597826,-4.8694087,0
42101022000,220,2023,-5.6111782,0.80161304,-4.87365023,0
42101001101,11.01,2023,-7.36243613,-3.01530117,-4.92075212,0
42101034400,344,2023,-6.55286789,-0.04382143,-4.99675927,0
42101035302,353.02,2023,-6.90868044,-0.31725978,-5.04444407,0
42101035602,356.02,2023,-6.96324991,0.00169271,-5.04819312,0
42101037800,378,2023,-7.23432864,-0.70063602,-5.04948386,0
42101023500,235,2023,-6.14693677,-0.7627581,-5.0582113,0
42101036202,362.02,2023,-7.26268997,-0.02255419,-5.1634878,0
42101034702,347.02,2023,-7.55848159,-0.59141518,-5.31161108,0
42101034100,341,2023,-7.54371691,-1.44589209,-5.31871526,0
42101036201,362.01,2023,-7.38265783,-0.23245011,-5.31892391,0
42101018400,184,2023,-8.19821994,-1.20174478,-5.32470007,0
42101035200,352,2023,-7.08847248,-0.63504011,-5.33539767,0
42101001300,13,2023,-8.55436745,-2.48323636,-5.3838022,0
42101001800,18,2023,-8.22806945,-2.67225453,-5.39065542,0
42101002702,27.02,2023,-8.2804413,-1.45734148,-5.41794165,0
42101000300,3,2023,-8.37053294,-2.10359515,-5.43949107,0
42101001102,11.02,2023,-8.03080815,-4.3500457,-5.44414009,0
42101037300,373,2023,-7.66934173,-0.25536765,-5.48451964,0
42101013401,134.01,2023,-8.44248452,-0.82600986,-5.56529787,0
42101033101,331.01,2023,-8.44696377,-1.44882526,-5.56604056,0
42101980100,9801,2023,-6.62296735,-0.17931901,-5.58091181,0
42101036700,367,2023,-8.85752264,-4.17754242,-5.60115907,0
42101016000,160,2023,-8.7465971,-1.12615626,-5.63139428,0
42101001001,10.01,2023,-8.11746497,-1.1670822,-5.63483554,0
42101038700,387,2023,-7.04220032,-0.80341072,-5.65236441,0
42101001500,15,2023,-8.60858528,-2.31237044,-5.68063522,0
